año,MEX,EdoMex,%EdoMex,Toluca,Fcst1,Fcst2,Fcst
2010,2643908,335898,0.1,46689.822,,45738,
2011,2586287,327165,0.126499881876992,45475.935,,44786,
2012,2498880,326412,0.130623319247023,45371.268,,43835,
2013,2478889,317834,0.12821630980653,44178.926,45846,42883,
2014,2463420,316088,0.128312671002103,43936.232,45009,41931,
2015,2353596,303778,0.12906972989417,42225.142,44495,40979,
2016,2293708,295635,0.128889553508991,41093.265,43447,40028,
2017,2234039,286204,0.128110565661566,39782.356,42418,39076,39782.356
2018,,,,,41034,38124,39579
2019,,,,,40438,37172,38805
2020,,,,,39782,36221,38001.5